investigator_sample_id,rack_a_nickname
b75bf89b,SF02-021A
6dd49b70,SF02-025A
94be2146,SF02-030A
143ea703,SF02-032A
99d9a092,SF02-054A
6c00cdba,SF02-055A
ca31e401,SF02-057A
a9092b86,SF02-057A
e51a82c7,SF02-057A
34e4c67f,SF02-059A
6aa6c984,SF02-063A
f846d1c1,SF02-066A
045b3502,SF02-066A
f299df73,SF02-066A
d91492c1,SF02-066A
7483ea77,SF02-071A
f5c30901,SF02-071A
bedfa46a,SF02-073A
2e491d2e,SF02-073A
85f56286,SF02-074A
b5ef8ad7,SF02-085A
48a782a7,SF02-086A
034f49e6,SF02-095A
5b71a1b0,SF02-100A
b3383479,SF02-100A
2888e890,SF02-100A
22baa278,SF02-100A
ce0ffa7b,SF02-101A
61a25325,SF02-102A
f2d2121f,SF02-105A
b5bcf612,SF02-109A
1ccd8a8a,SF02-117A
3d2b7397,SF02-117A
ca786f03,SF02-118A
c24871b0,SF02-127A
9baa3ae8,SF02-133A
6fa7b156,SF02-133A
73bd7d44,SF02-142A
9daff9b4,SF02-142A
4bcc34ed,SF02-143A
e27a4c47,SF02-143A
d4555072,SF02-145A
6f282197,SF02-146A
bf7ad909,SF02-148A
4d887397,SF02-149A
bdeba9f9,MIS-001A
d9e3d593,MIS-002A
5d7d8cf7,MIS-002A
525a6b1b,MIS-006A
2c222217,MIS-007A
837fb488,MIS-008A
5a162ece,PRO-004A
71a4bee4,PRO-008A
f82f13de,PRO-008A
8cf107d0,PRO-010A
ea128e2a,PRO-011A
18b8e5a4,PRO-012A
c9fb6fd1,PRO-016A
8884140e,PRO-022A
0c683531,PRO-029A
8704e87a,PRO-034A
af2e9e83,PRO-037A
7a315ca0,PRO-039A
3636fb3e,PRO-039A
858c58f0,PRO-039A
39d0d6e7,PRO-039A
6095f02f,PRO-041A
07c98f4b,PRO-041A
56fbfdf3,PRO-042A
4c1f273a,PRO-044A
516ce7c3,PRO-045A
de38099e,PRO-050A
2c0b3005,PRO-052A
075fdaca,PRO-054A
7adbac19,PRO-055A
35703b17,PRO-055A
e5d54c03,PRO-056A
354cf8da,PRO-056A
f92bd770,PRO-061A
d16e6e95,PRO-061A
09d7e3dd,PRO-061A
2d5bd345,PRO-062A
2c96a686,PRO-062A
8d2e15ad,PRO-064A
6e63648a,PRO-064A
2deebfd5,PRO-070A
7dbc8e2f,PRO-071A
5750397a,PRO-080A
dc4ebf4a,PRO-082A
23f2f6ad,PRO-083A
119c4c43,PRO-085A
bb67282d,PRO-089A
77e03000,PRO-091A
f855a235,PRO-095A
128fb51e,PRO-096A
665754af,PRO-097A
77144f0d,PRO-099A
c9df9028,PRO-100A
e112aa31,PRO-104A
785667a9,PRO-106A
6c7bff79,PRO-107A
0eff7706,PRO-107A
b45eb771,PRO-108A
aad9399f,PRO-110A
2e269b73,PRO-110A
48bbe5b1,PRO-112A
9ebe5213,PRO-112A
25dfd963,PRO-113A
f5ada20e,PRO-114A
533bfa63,PRO-115A
7d4eb64f,PRO-116A
1f16818f,PRO-118A
4ecd2648,PRO-120A
9d1e0bc9,PRO-121A
2de8e1ec,PRO-123A
22d79f99,BAT-002A
7d1a271a,BAT-005A
6720aa60,BAT-005A
b7bd5265,BAT-008A
865e6690,BAT-013A
041cf06a,BAT-017A
3d6e2fe8,BAT-018A
145cadde,BAT-019A
33a36708,BAT-019A
9fe0c8ab,BAT-022A
0553d3bc,BAT-023A
3cb54127,BAT-024A
41668658,BAT-024A
0da93929,BAT-026A
77a0e540,BAT-032A
300a9668,BAT-033A
496883ca,BAT-034A
92e1751c,BAT-039A
30f5c94f,BAT-043A
4.92E+08,BAT-043A
3daf7f95,BAT-044A
b6c9e3b1,BAT-044A
3f1565ca,BAT-048A
e0fcddc7,BAT-051A
2e72122e,BAT-051A
c259cd8c,BAT-052A
09ff3f8e,BAT-055A
f0a102d4,BAT-056A
d1224132,BAT-056A
a37bb56d,BAT-052A
591999d2,BAT-054A
495c22ab,BAT-045A
ec53c630,MIS-009A
